Country_A,Port_A,Country_B,Port_B,Distance,Route,Time,Price_Per_Container,Price_Per_kg
Singapore,Singapore,Spain,Algeciras,6929,SUEZ CANAL,28 days 21 hours,3265.4187103408003,0.10884729034469334
Singapore,Singapore,Germany,Bremerhaven,8493,SUEZ CANAL,35 days 09 hours,4002.4824804336004,0.13341608268112
Singapore,Singapore,Oman,Muscat,3142,DIRECT,13 days 02 hours,1480.7252977184,0.04935750992394667
Singapore,Singapore,China,Dalian,2619,DIRECT,10 days 22 hours,1234.2519270288,0.04114173090096
Singapore,Singapore,Japan,Tokyo,2904,DIRECT,12 days 02 hours,1368.5634196608,0.04561878065536
Singapore,Singapore,United Arab Emirates,Port Rashid,3430,DIRECT,14 days 07 hours,1616.450595536,0.05388168651786667
Singapore,Singapore,Egypt,Port Said,5014,DIRECT,20 days 21 hours,2362.9397335328,0.07876465778442666
Singapore,Singapore,United States,Houston,11695,SUEZ CANAL,48 days 18 hours,5511.483881864,0.18371612939546667
Singapore,Singapore,Indonesia,Tanjung Perak,759,DIRECT,3 days 04 hours,357.6927119568,0.01192309039856
China,Yantai,China,Qingdao,231,DIRECT,23 hours,108.86299929120001,0.0036287666430400004
China,Yantai,Korea (South),Busan,507,DIRECT,2 days 03 hours,238.9330763664,0.00796443587888
China,Yantai,China,Tianjin,196,DIRECT,20 hours,92.3686054592,0.0030789535153066664
China,Yantai,China,Guangzhou,1299,DIRECT,5 days 10 hours,612.1776453648,0.02040592151216
China,Yantai,United States,Los Angeles,5724,DIRECT,23 days 20 hours,2697.5402941248003,0.08991800980416001
China,Yantai,United Arab Emirates,Dubai,6013,DIRECT,25 days 01 hours,2833.7368603376003,0.09445789534458668
China,Yantai,Hong Kong,Hong Kong,1220,DIRECT,5 days 02 hours,574.947442144,0.019164914738133334
China,Yantai,Malaysia,Malacca,2705,DIRECT,11 days 07 hours,1274.781009016,0.042492700300533336
China,Yantai,Netherlands,Rotterdam,10871,SUEZ CANAL,45 days 07 hours,5123.1587242192,0.17077195747397333
China,Yantai,China,Xiamen,966,DIRECT,4 days 01 hours,455.24526976320004,0.015174842325440002
China,Yantai,Belgium,Antwerp,10876,SUEZ CANAL,45 days 08 hours,5125.5150661952,0.1708505022065067
China,Yantai,Malaysia,Johor,2587,DIRECT,10 days 19 hours,1219.1713383824,0.04063904461274667
China,Yantai,Taiwan,Kaohsiung,993,DIRECT,4 days 03 hours,467.9695164336,0.01559898388112
China,Yantai,Thailand,Laem Chabang,2596,DIRECT,10 days 20 hours,1223.4127539392,0.04078042513130667
China,Yantai,Morocco,Tangier,9538,SUEZ CANAL,39 days 18 hours,4494.9579534176,0.14983193178058668
China,Yantai,United States,New York,10602,PANAMA CANAL,44 days 04 hours,4996.387525910401,0.16654625086368002
China,Yantai,Germany,Hamburg,11124,SUEZ CANAL,46 days 08 hours,5242.3896282048,0.17474632094016
China,Yantai,Vietnam,Saigon,2083,DIRECT,8 days 16 hours,981.6520672016001,0.032721735573386666
China,Yantai,Indonesia,Tanjung Priok,2920,DIRECT,12 days 04 hours,1376.103713984,0.045870123799466665
China,Yantai,Sri Lanka,Colombo,4150,DIRECT,17 days 07 hours,1955.7638400800001,0.06519212800266667
China,Yantai,India,Kandla,5384,DIRECT,22 days 10 hours,2537.3090397568003,0.08457696799189335
China,Yantai,India,Bombay,5018,DIRECT,20 days 22 hours,2364.8248071136,0.07882749357045334
China,Yantai,United States,Savannah,10193,PANAMA CANAL,42 days 11 hours,4803.6387522736,0.16012129174245335
China,Yantai,Vietnam,Haiphong,1830,DIRECT,7 days 15 hours,862.4211632160001,0.028747372107200003
China,Yantai,Vietnam,Danang,1700,DIRECT,7 days 02 hours,801.15627184,0.026705209061333335
China,Yantai,Philippines,Manila,1520,DIRECT,6 days 08 hours,716.327960704,0.023877598690133332
China,Yantai,Panama,Colon,8630,PANAMA CANAL,35 days 23 hours,4067.046250576,0.13556820835253333
China,Yantai,Greece,Piraeus,8190,SUEZ CANAL,34 days 03 hours,3859.688156688,0.1286562718896
China,Yantai,Spain,Valencia,9266,SUEZ CANAL,38 days 15 hours,4366.7729499232,0.14555909833077332
China,Yantai,China,Yingkou,216,DIRECT,22 hours,101.79397336320001,0.0033931324454400005
China,Yantai,Brazil,Santos,11400,CAPE OF GOOD HOPE,47 days 12 hours,5372.45970528,0.179081990176
China,Yantai,Saudi Arabia,Jeddah,6904,DIRECT,28 days 18 hours,3253.6370004608,0.10845456668202667
China,Yantai,Spain,Algeciras,9512,SUEZ CANAL,39 days 15 hours,4482.7049751424,0.14942349917141334
China,Yantai,Germany,Bremerhaven,11076,SUEZ CANAL,46 days 04 hours,5219.7687452352,0.17399229150784
China,Yantai,Oman,Muscat,5725,DIRECT,23 days 21 hours,2698.01156252,0.08993371875066666
China,Yantai,China,Dalian,89,DIRECT,09 hours,41.9428871728,0.0013980962390933334
China,Yantai,Japan,Tokyo,1128,DIRECT,4 days 17 hours,531.5907497856,0.01771969165952
China,Yantai,United Arab Emirates,Port Rashid,6013,DIRECT,25 days 01 hours,2833.7368603376003,0.09445789534458668
China,Yantai,Egypt,Port Said,7597,DIRECT,31 days 16 hours,3580.2259983344,0.11934086661114668
China,Yantai,United States,Houston,10158,PANAMA CANAL,42 days 08 hours,4787.1443584416,0.15957147861472
China,Yantai,Indonesia,Tanjung Perak,3056,DIRECT,12 days 18 hours,1440.1962157312,0.04800654052437334
China,Qingdao,Korea (South),Busan,502,DIRECT,2 days 02 hours,236.57673439040002,0.007885891146346668
China,Qingdao,China,Tianjin,412,DIRECT,1 day 17 hours,194.1625788224,0.006472085960746667
China,Qingdao,China,Guangzhou,1183,DIRECT,4 days 22 hours,557.5105115216,0.018583683717386668
China,Qingdao,United States,Los Angeles,5706,DIRECT,23 days 19 hours,2689.0574630112,0.08963524876704
China,Qingdao,United Arab Emirates,Dubai,5893,DIRECT,24 days 13 hours,2777.1846529136,0.09257282176378667
China,Qingdao,Hong Kong,Hong Kong,1100,DIRECT,4 days 14 hours,518.3952347200001,0.017279841157333335
China,Qingdao,Malaysia,Malacca,2585,DIRECT,10 days 19 hours,1218.228801592,0.040607626719733336
China,Qingdao,Netherlands,Rotterdam,10751,SUEZ CANAL,44 days 19 hours,5066.6065167952,0.16888688389317333
China,Qingdao,China,Xiamen,846,DIRECT,3 days 13 hours,398.6930623392,0.013289768744640001
China,Qingdao,Belgium,Antwerp,10756,SUEZ CANAL,44 days 20 hours,5068.9628587712,0.16896542862570668
China,Qingdao,Malaysia,Johor,2467,DIRECT,10 days 07 hours,1162.6191309584,0.03875397103194667
China,Qingdao,Taiwan,Kaohsiung,876,DIRECT,3 days 16 hours,412.83111419520003,0.013761037139840001
China,Qingdao,Thailand,Laem Chabang,2480,DIRECT,10 days 08 hours,1168.745620096,0.038958187336533334
China,Qingdao,Morocco,Tangier,9418,SUEZ CANAL,39 days 06 hours,4438.4057459936,0.14794685819978667
China,Qingdao,United States,New York,10587,PANAMA CANAL,44 days 03 hours,4989.318499982401,0.16631061666608002
China,Qingdao,Germany,Hamburg,11004,SUEZ CANAL,45 days 20 hours,5185.8374207808,0.17286124735936
China,Qingdao,Vietnam,Saigon,1963,DIRECT,8 days 04 hours,925.0998597776,0.030836661992586667
China,Qingdao,Indonesia,Tanjung Priok,2799,DIRECT,11 days 16 hours,1319.0802381648,0.04396934127216
China,Qingdao,Sri Lanka,Colombo,4030,DIRECT,16 days 19 hours,1899.2116326560001,0.06330705442186667
China,Qingdao,India,Kandla,5264,DIRECT,21 days 22 hours,2480.7568323328,0.08269189441109334
China,Qingdao,India,Bombay,4898,DIRECT,20 days 10 hours,2308.2725996896,0.07694241998965334
China,Qingdao,United States,Savannah,10178,PANAMA CANAL,42 days 10 hours,4796.5697263456,0.15988565754485334
China,Qingdao,Vietnam,Haiphong,1709,DIRECT,7 days 03 hours,805.3976873968,0.026846589579893335
China,Qingdao,Vietnam,Danang,1583,DIRECT,6 days 14 hours,746.0178696016001,0.024867262320053336
China,Qingdao,Philippines,Manila,1404,DIRECT,5 days 20 hours,661.6608268608001,0.02205536089536
China,Qingdao,Panama,Colon,8615,PANAMA CANAL,35 days 22 hours,4059.977224648,0.13533257415493333
China,Qingdao,Greece,Piraeus,8070,SUEZ CANAL,33 days 15 hours,3803.1359492640004,0.12677119830880001
China,Qingdao,Spain,Valencia,9146,SUEZ CANAL,38 days 03 hours,4310.2207424992,0.14367402474997334
China,Qingdao,China,Yingkou,416,DIRECT,1 day 18 hours,196.0476524032,0.006534921746773333
China,Qingdao,Brazil,Santos,11285,CAPE OF GOOD HOPE,47 days 01 hours,5318.2638398320005,0.17727546132773334
China,Qingdao,Saudi Arabia,Jeddah,6784,DIRECT,28 days 06 hours,3197.0847930368,0.10656949310122667
China,Qingdao,Spain,Algeciras,9392,SUEZ CANAL,39 days 03 hours,4426.1527677184,0.14753842559061334
China,Qingdao,Germany,Bremerhaven,10956,SUEZ CANAL,45 days 16 hours,5163.2165378112,0.17210721792704
China,Qingdao,Oman,Muscat,5605,DIRECT,23 days 09 hours,2641.4593550960003,0.08804864516986667
China,Qingdao,China,Dalian,356,DIRECT,1 day 12 hours,167.7715486912,0.0055923849563733335
China,Qingdao,Japan,Tokyo,1114,DIRECT,4 days 15 hours,524.9929922528,0.017499766408426667
China,Qingdao,United Arab Emirates,Port Rashid,5893,DIRECT,24 days 13 hours,2777.1846529136,0.09257282176378667
China,Qingdao,Egypt,Port Said,7477,DIRECT,31 days 04 hours,3523.6737909104004,0.11745579303034669
China,Qingdao,China,Yantai,231,DIRECT,23 hours,108.86299929120001,0.0036287666430400004
China,Qingdao,United States,Houston,10143,PANAMA CANAL,42 days 06 hours,4780.0753325136,0.15933584441712
China,Qingdao,Indonesia,Tanjung Perak,2909,DIRECT,12 days 03 hours,1370.9197616368,0.04569732538789334
Korea (South),Busan,China,Tianjin,688,DIRECT,2 days 21 hours,324.2326558976,0.010807755196586668
Korea (South),Busan,China,Guangzhou,1223,DIRECT,5 days 02 hours,576.3612473296,0.019212041577653334
Korea (South),Busan,United States,Los Angeles,5230,DIRECT,21 days 19 hours,2464.733706896,0.08215779022986666
Korea (South),Busan,United Arab Emirates,Dubai,5933,DIRECT,24 days 17 hours,2796.0353887216,0.09320117962405333
Korea (South),Busan,Hong Kong,Hong Kong,1140,DIRECT,4 days 18 hours,537.245970528,0.0179081990176
Korea (South),Busan,Malaysia,Malacca,2625,DIRECT,10 days 23 hours,1237.0795374000002,0.04123598458
Korea (South),Busan,Netherlands,Rotterdam,10791,SUEZ CANAL,44 days 23 hours,5085.457252603201,0.16951524175344002
Korea (South),Busan,China,Xiamen,886,DIRECT,3 days 17 hours,417.5437981472,0.013918126604906666
Korea (South),Busan,Belgium,Antwerp,10796,SUEZ CANAL,45 days 00 hours,5087.8135945792,0.16959378648597334
Korea (South),Busan,Malaysia,Johor,2503,DIRECT,10 days 10 hours,1179.5847931856001,0.03931949310618667
Korea (South),Busan,Taiwan,Kaohsiung,908,DIRECT,3 days 19 hours,427.9117028416,0.014263723428053333
Korea (South),Busan,Thailand,Laem Chabang,2522,DIRECT,10 days 12 hours,1188.5388926944001,0.039617963089813336
Korea (South),Busan,Morocco,Tangier,9458,SUEZ CANAL,39 days 10 hours,4457.2564818016,0.14857521606005333
Korea (South),Busan,United States,New York,10085,PANAMA CANAL,42 days 01 hours,4752.741765592,0.15842472551973333
Korea (South),Busan,Germany,Hamburg,11044,SUEZ CANAL,46 days 00 hours,5204.688156588801,0.1734896052196267
Korea (South),Busan,Vietnam,Saigon,2005,DIRECT,8 days 09 hours,944.893132376,0.03149643774586667
Korea (South),Busan,Indonesia,Tanjung Priok,2839,DIRECT,11 days 20 hours,1337.9309739728,0.04459769913242667
Korea (South),Busan,Sri Lanka,Colombo,4070,DIRECT,16 days 23 hours,1918.0623684640002,0.06393541228213334
Korea (South),Busan,India,Kandla,5304,DIRECT,22 days 02 hours,2499.6075681408,0.08332025227136
Korea (South),Busan,India,Bombay,4938,DIRECT,20 days 14 hours,2327.1233354976002,0.07757077784992
Korea (South),Busan,United States,Savannah,9676,PANAMA CANAL,40 days 08 hours,4559.9929919552005,0.15199976639850668
Korea (South),Busan,Vietnam,Haiphong,1749,DIRECT,7 days 07 hours,824.2484232048,0.027474947440160002
Korea (South),Busan,Vietnam,Danang,1625,DIRECT,6 days 19 hours,765.8111422000001,0.025527038073333334
Korea (South),Busan,Philippines,Manila,1410,DIRECT,5 days 21 hours,664.488437232,0.0221496145744
Korea (South),Busan,Panama,Colon,8113,PANAMA CANAL,33 days 19 hours,3823.4004902576003,0.12744668300858666
Korea (South),Busan,Greece,Piraeus,8110,SUEZ CANAL,33 days 19 hours,3821.986685072,0.12739955616906667
Korea (South),Busan,Spain,Valencia,9186,SUEZ CANAL,38 days 07 hours,4329.0714783072,0.14430238261024
Korea (South),Busan,China,Yingkou,693,DIRECT,2 days 21 hours,326.5889978736,0.01088629992912
Korea (South),Busan,Brazil,Santos,11325,CAPE OF GOOD HOPE,47 days 05 hours,5337.11457564,0.177903819188
Korea (South),Busan,Saudi Arabia,Jeddah,6824,DIRECT,28 days 10 hours,3215.9355288448,0.10719785096149334
Korea (South),Busan,Spain,Algeciras,9432,SUEZ CANAL,39 days 07 hours,4445.0035035264,0.14816678345088
Korea (South),Busan,Germany,Bremerhaven,10996,SUEZ CANAL,45 days 20 hours,5182.0672736192,0.17273557578730667
Korea (South),Busan,Oman,Muscat,5645,DIRECT,23 days 13 hours,2660.310090904,0.08867700303013333
Korea (South),Busan,China,Dalian,543,DIRECT,2 days 06 hours,255.8987385936,0.00852995795312
Korea (South),Busan,Japan,Tokyo,669,DIRECT,2 days 19 hours,315.27855638880004,0.010509285212960002
Korea (South),Busan,United Arab Emirates,Port Rashid,5933,DIRECT,24 days 17 hours,2796.0353887216,0.09320117962405333
Korea (South),Busan,Egypt,Port Said,7517,DIRECT,31 days 08 hours,3542.5245267184,0.11808415089061333
Korea (South),Busan,China,Yantai,507,DIRECT,2 days 03 hours,238.9330763664,0.00796443587888
Korea (South),Busan,United States,Houston,9641,PANAMA CANAL,40 days 04 hours,4543.4985981232,0.15144995327077335
Korea (South),Busan,Indonesia,Tanjung Perak,2884,DIRECT,12 days 00 hours,1359.1380517568,0.04530460172522666
China,Tianjin,China,Guangzhou,1480,DIRECT,6 days 04 hours,697.477224896,0.02324924082986667
China,Tianjin,United States,Los Angeles,5910,DIRECT,24 days 15 hours,2785.196215632,0.0928398738544
China,Tianjin,United Arab Emirates,Dubai,6194,DIRECT,25 days 19 hours,2919.0364398688002,0.09730121466229334
China,Tianjin,Hong Kong,Hong Kong,1401,DIRECT,5 days 20 hours,660.2470216752,0.02200823405584
China,Tianjin,Malaysia,Malacca,2886,DIRECT,12 days 01 hours,1360.0805885472,0.04533601961824
China,Tianjin,Netherlands,Rotterdam,11052,SUEZ CANAL,46 days 01 hours,5208.4583037504,0.17361527679167998
China,Tianjin,China,Xiamen,1147,DIRECT,4 days 19 hours,540.5448492944,0.01801816164314667
China,Tianjin,Belgium,Antwerp,11057,SUEZ CANAL,46 days 02 hours,5210.8146457264,0.17369382152421334
China,Tianjin,Malaysia,Johor,2768,DIRECT,11 days 13 hours,1304.4709179136,0.043482363930453335
China,Tianjin,Taiwan,Kaohsiung,1174,DIRECT,4 days 21 hours,553.2690959648,0.018442303198826667
China,Tianjin,Thailand,Laem Chabang,2777,DIRECT,11 days 14 hours,1308.7123334704002,0.04362374444901334
China,Tianjin,Morocco,Tangier,9719,SUEZ CANAL,40 days 12 hours,4580.2575329488,0.15267525109829333
China,Tianjin,United States,New York,10783,PANAMA CANAL,44 days 22 hours,5081.687105441601,0.16938957018138667
China,Tianjin,Germany,Hamburg,11305,SUEZ CANAL,47 days 03 hours,5327.689207736,0.17758964025786667
China,Tianjin,Vietnam,Saigon,2264,DIRECT,9 days 10 hours,1066.9516467328,0.03556505489109334
China,Tianjin,Indonesia,Tanjung Priok,3101,DIRECT,12 days 22 hours,1461.4032935152002,0.04871344311717334
China,Tianjin,Sri Lanka,Colombo,4331,DIRECT,18 days 01 hours,2041.0634196112,0.06803544732037334
China,Tianjin,India,Kandla,5565,DIRECT,23 days 05 hours,2622.608619288,0.08742028730960001
China,Tianjin,India,Bombay,5199,DIRECT,21 days 16 hours,2450.1243866448003,0.08167081288816001
China,Tianjin,United States,Savannah,10374,PANAMA CANAL,43 days 05 hours,4888.9383318048,0.16296461106016
China,Tianjin,Vietnam,Haiphong,2011,DIRECT,8 days 09 hours,947.7207427472,0.03159069142490667
China,Tianjin,Vietnam,Danang,1881,DIRECT,7 days 20 hours,886.4558513712001,0.029548528379040002
China,Tianjin,Philippines,Manila,1700,DIRECT,7 days 02 hours,801.15627184,0.026705209061333335
China,Tianjin,Panama,Colon,8811,PANAMA CANAL,36 days 17 hours,4152.3458301072005,0.13841152767024
China,Tianjin,Greece,Piraeus,8371,SUEZ CANAL,34 days 21 hours,3944.9877362192,0.13149959120730667
China,Tianjin,Spain,Valencia,9447,SUEZ CANAL,39 days 09 hours,4452.0725294544,0.14840241764848
China,Tianjin,China,Yingkou,244,DIRECT,1 day 00 hours,114.9894884288,0.0038329829476266668
China,Tianjin,Brazil,Santos,11581,CAPE OF GOOD HOPE,48 days 06 hours,5457.7592848112,0.18192530949370667
China,Tianjin,Saudi Arabia,Jeddah,7085,DIRECT,29 days 13 hours,3338.936579992,0.11129788599973334
China,Tianjin,Spain,Algeciras,9693,SUEZ CANAL,40 days 09 hours,4568.0045546736,0.15226681848912
China,Tianjin,Germany,Bremerhaven,11257,SUEZ CANAL,46 days 22 hours,5305.0683247664,0.17683561082554666
China,Tianjin,Oman,Muscat,5906,DIRECT,24 days 15 hours,2783.3111420512,0.09277703806837334
China,Tianjin,China,Dalian,198,DIRECT,20 hours,93.31114224960001,0.0031103714083200004
China,Tianjin,Japan,Tokyo,1309,DIRECT,5 days 11 hours,616.8903293168,0.020563010977226667
China,Tianjin,United Arab Emirates,Port Rashid,6194,DIRECT,25 days 19 hours,2919.0364398688002,0.09730121466229334
China,Tianjin,Egypt,Port Said,7778,DIRECT,32 days 10 hours,3665.5255778656,0.12218418592885334
China,Tianjin,China,Yantai,196,DIRECT,20 hours,92.3686054592,0.0030789535153066664
China,Tianjin,United States,Houston,10339,PANAMA CANAL,43 days 02 hours,4872.4439379728,0.16241479793242666
China,Tianjin,Indonesia,Tanjung Perak,3194,DIRECT,13 days 07 hours,1505.2312542688,0.05017437514229334
China,Guangzhou,United States,Los Angeles,6446,DIRECT,26 days 21 hours,3037.7960754592,0.10125986918197333
China,Guangzhou,United Arab Emirates,Dubai,4973,DIRECT,20 days 17 hours,2343.6177293296,0.07812059097765334
China,Guangzhou,Hong Kong,Hong Kong,83,DIRECT,08 hours,39.115276801600004,0.0013038425600533335
China,Guangzhou,Malaysia,Malacca,1665,DIRECT,6 days 23 hours,784.661878008,0.0261553959336
China,Guangzhou,Netherlands,Rotterdam,9831,SUEZ CANAL,40 days 23 hours,4633.039593211201,0.15443465310704002
China,Guangzhou,China,Xiamen,370,DIRECT,1 day 13 hours,174.369306224,0.005812310207466667
China,Guangzhou,Belgium,Antwerp,9836,SUEZ CANAL,41 days 00 hours,4635.3959351872,0.15451319783957332
China,Guangzhou,Malaysia,Johor,1547,DIRECT,6 days 11 hours,729.0522073744,0.024301740245813334
China,Guangzhou,Taiwan,Kaohsiung,425,DIRECT,1 day 19 hours,200.28906796,0.006676302265333334
China,Guangzhou,Thailand,Laem Chabang,1625,DIRECT,6 days 19 hours,765.8111422000001,0.025527038073333334
China,Guangzhou,Morocco,Tangier,8498,SUEZ CANAL,35 days 10 hours,4004.8388224096,0.13349462741365334
China,Guangzhou,United States,New York,11290,PANAMA CANAL,47 days 01 hours,5320.620181808,0.17735400606026666
China,Guangzhou,Germany,Hamburg,10084,SUEZ CANAL,42 days 00 hours,4752.2704971968005,0.15840901657322667
China,Guangzhou,Vietnam,Saigon,1010,DIRECT,4 days 05 hours,475.981079152,0.015866035971733333
China,Guangzhou,Indonesia,Tanjung Priok,1872,DIRECT,7 days 19 hours,882.2144358144001,0.02940714786048
China,Guangzhou,Sri Lanka,Colombo,3110,DIRECT,12 days 23 hours,1465.644709072,0.04885482363573333
China,Guangzhou,India,Kandla,4344,DIRECT,18 days 02 hours,2047.1899087488,0.06823966362496
China,Guangzhou,India,Bombay,3978,DIRECT,16 days 14 hours,1874.7056761056,0.06249018920352
China,Guangzhou,United States,Savannah,10881,PANAMA CANAL,45 days 08 hours,5127.8714081712005,0.17092904693904
China,Guangzhou,Vietnam,Haiphong,720,DIRECT,3 days 00 hours,339.31324454400004,0.011310441484800001
China,Guangzhou,Vietnam,Danang,603,DIRECT,2 days 12 hours,284.1748423056,0.00947249474352
China,Guangzhou,Philippines,Manila,715,DIRECT,3 days 00 hours,336.95690256800003,0.011231896752266667
China,Guangzhou,Panama,Colon,9318,PANAMA CANAL,38 days 20 hours,4391.2789064736,0.14637596354912
China,Guangzhou,Greece,Piraeus,7150,SUEZ CANAL,29 days 19 hours,3369.5690256800003,0.11231896752266668
China,Guangzhou,Spain,Valencia,8226,SUEZ CANAL,34 days 07 hours,3876.6538189152,0.12922179396384
China,Guangzhou,China,Yingkou,1485,DIRECT,6 days 05 hours,699.833566872,0.023327785562400002
China,Guangzhou,Brazil,Santos,10357,CAPE OF GOOD HOPE,43 days 04 hours,4880.9267690864,0.16269755896954666
China,Guangzhou,Saudi Arabia,Jeddah,5864,DIRECT,24 days 10 hours,2763.5178694528,0.09211726231509333
China,Guangzhou,Spain,Algeciras,8472,SUEZ CANAL,35 days 07 hours,3992.5858441344003,0.13308619480448
China,Guangzhou,Germany,Bremerhaven,10036,SUEZ CANAL,41 days 20 hours,4729.6496142272,0.15765498714090667
China,Guangzhou,Oman,Muscat,4685,DIRECT,19 days 13 hours,2207.8924315120003,0.07359641438373334
China,Guangzhou,China,Dalian,1335,DIRECT,5 days 14 hours,629.143307592,0.0209714435864
China,Guangzhou,Japan,Tokyo,1679,DIRECT,7 days 00 hours,791.2596355408,0.026375321184693334
China,Guangzhou,United Arab Emirates,Port Rashid,4973,DIRECT,20 days 17 hours,2343.6177293296,0.07812059097765334
China,Guangzhou,Egypt,Port Said,6557,DIRECT,27 days 08 hours,3090.1068673264003,0.10300356224421335
China,Guangzhou,China,Yantai,1299,DIRECT,5 days 10 hours,612.1776453648,0.02040592151216
China,Guangzhou,United States,Houston,10846,PANAMA CANAL,45 days 05 hours,5111.3770143392,0.17037923381130668
China,Guangzhou,Indonesia,Tanjung Perak,2023,DIRECT,8 days 10 hours,953.3759634896,0.03177919878298667
United States,Los Angeles,United Arab Emirates,Dubai,11099,DIRECT,46 days 06 hours,5230.6079183248,0.17435359727749333
United States,Los Angeles,Hong Kong,Hong Kong,6363,DIRECT,26 days 12 hours,2998.6807986576,0.09995602662192
United States,Los Angeles,Malaysia,Malacca,7791,DIRECT,32 days 11 hours,3671.6520670032,0.12238840223344
United States,Los Angeles,Netherlands,Rotterdam,7752,PANAMA CANAL,32 days 07 hours,3653.2725995904,0.12177575331968
United States,Los Angeles,China,Xiamen,6116,DIRECT,25 days 12 hours,2882.2775050432,0.09607591683477333
United States,Los Angeles,Belgium,Antwerp,7757,PANAMA CANAL,32 days 08 hours,3655.6289415664,0.12185429805221333
United States,Los Angeles,Malaysia,Johor,7664,DIRECT,31 days 22 hours,3611.8009808128004,0.12039336602709334
United States,Los Angeles,Taiwan,Kaohsiung,6117,DIRECT,25 days 12 hours,2882.7487734384003,0.09609162578128001
United States,Los Angeles,Thailand,Laem Chabang,7706,DIRECT,32 days 03 hours,3631.5942534112,0.12105314178037334
United States,Los Angeles,Morocco,Tangier,7257,PANAMA CANAL,30 days 06 hours,3419.9947439664,0.11399982479888
United States,Los Angeles,United States,New York,4923,PANAMA CANAL,20 days 12 hours,2320.0543095696003,0.07733514365232001
United States,Los Angeles,Germany,Hamburg,8005,PANAMA CANAL,33 days 09 hours,3772.503503576,0.12575011678586667
United States,Los Angeles,Vietnam,Saigon,7190,DIRECT,29 days 23 hours,3388.419761488,0.11294732538293333
United States,Los Angeles,Indonesia,Tanjung Priok,7899,DIRECT,32 days 22 hours,3722.5490536848,0.12408496845616
United States,Los Angeles,Sri Lanka,Colombo,9236,DIRECT,38 days 12 hours,4352.6348980672,0.14508782993557334
United States,Los Angeles,India,Kandla,10470,DIRECT,43 days 15 hours,4934.180097744,0.1644726699248
United States,Los Angeles,India,Bombay,10104,DIRECT,42 days 02 hours,4761.6958651008,0.15872319550336
United States,Los Angeles,United States,Savannah,4514,PANAMA CANAL,18 days 19 hours,2127.3055359328,0.07091018453109334
United States,Los Angeles,Vietnam,Haiphong,6961,DIRECT,29 days 00 hours,3280.4992989872003,0.10934997663290667
United States,Los Angeles,Vietnam,Danang,6842,DIRECT,28 days 12 hours,3224.4183599584003,0.10748061199861335
United States,Los Angeles,Philippines,Manila,6533,DIRECT,27 days 05 hours,3078.7964258416,0.10262654752805334
United States,Los Angeles,Panama,Colon,2951,PANAMA CANAL,12 days 07 hours,1390.7130342352,0.046357101141173335
United States,Los Angeles,Greece,Piraeus,8757,PANAMA CANAL,36 days 12 hours,4126.8973367664,0.13756324455888
United States,Los Angeles,Spain,Valencia,7663,PANAMA CANAL,31 days 22 hours,3611.3297124176,0.12037765708058668
United States,Los Angeles,China,Yingkou,5909,DIRECT,24 days 15 hours,2784.7249472368003,0.09282416490789334
United States,Los Angeles,Brazil,Santos,7384,PANAMA CANAL,30 days 18 hours,3479.8458301568003,0.11599486100522667
United States,Los Angeles,Saudi Arabia,Jeddah,11990,DIRECT,49 days 23 hours,5650.508058448,0.18835026861493334
United States,Los Angeles,Spain,Algeciras,7280,PANAMA CANAL,30 days 08 hours,3430.8339170560002,0.11436113056853334
United States,Los Angeles,Germany,Bremerhaven,7957,PANAMA CANAL,33 days 04 hours,3749.8826206064,0.12499608735354667
United States,Los Angeles,Oman,Muscat,10811,DIRECT,45 days 01 hours,5094.8826205072,0.16982942068357335
United States,Los Angeles,China,Dalian,5760,DIRECT,24 days 00 hours,2714.5059563520003,0.09048353187840001
United States,Los Angeles,Japan,Tokyo,4854,DIRECT,20 days 05 hours,2287.5367903008,0.07625122634336
United States,Los Angeles,United Arab Emirates,Port Rashid,11099,DIRECT,46 days 06 hours,5230.6079183248,0.17435359727749333
United States,Los Angeles,Egypt,Port Said,12683,DIRECT,52 days 20 hours,5977.097056321601,0.19923656854405336
United States,Los Angeles,China,Yantai,5724,DIRECT,23 days 20 hours,2697.5402941248003,0.08991800980416001
United States,Los Angeles,United States,Houston,4479,PANAMA CANAL,18 days 16 hours,2110.8111421008,0.07036037140336
United States,Los Angeles,Indonesia,Tanjung Perak,7624,DIRECT,31 days 18 hours,3592.9502450048003,0.11976500816682668
United Arab Emirates,Dubai,Hong Kong,Hong Kong,4890,DIRECT,20 days 09 hours,2304.502452528,0.0768167484176
United Arab Emirates,Dubai,Malaysia,Malacca,3307,DIRECT,13 days 19 hours,1558.4845829264,0.05194948609754667
United Arab Emirates,Dubai,Netherlands,Rotterdam,6165,SUEZ CANAL,25 days 17 hours,2905.369656408,0.0968456552136
United Arab Emirates,Dubai,China,Xiamen,5083,DIRECT,21 days 04 hours,2395.4572528016,0.07984857509338666
United Arab Emirates,Dubai,Belgium,Antwerp,6170,SUEZ CANAL,25 days 17 hours,2907.725998384,0.09692419994613333
United Arab Emirates,Dubai,Taiwan,Kaohsiung,5051,DIRECT,21 days 01 hours,2380.3766641552,0.07934588880517333
United Arab Emirates,Dubai,Thailand,Laem Chabang,4214,DIRECT,17 days 13 hours,1985.9250173728,0.06619750057909334
United Arab Emirates,Dubai,Morocco,Tangier,4832,SUEZ CANAL,20 days 03 hours,2277.1688856064,0.07590562952021333
