Country_A,Port_A,Country_B,Port_B,Distance,Route,Time,Price_Per_Container,Price_Per_kg
Japan,Yokohama,Thailand,Laem Chabang,2932,DIRECT,12 days 05 hours,1381.7589347264,0.046058631157546666
Japan,Yokohama,Iran,Bandar Abbas,6273,DIRECT,26 days 03 hours,2956.2666430896,0.09854222143632001
Japan,Yokohama,Norway,Oslo,11685,SUEZ CANAL,48 days 17 hours,5506.771197912,0.18355903993040001
Japan,Yokohama,United Arab Emirates,Dubai,6322,DIRECT,26 days 08 hours,2979.3587944544,0.09931195981514668
Japan,Yokohama,Nigeria,Lagos,10906,CAPE OF GOOD HOPE,45 days 11 hours,5139.6531180512,0.17132177060170667
Japan,Yokohama,Israel,Haifa,8075,SUEZ CANAL,33 days 16 hours,3805.49229124,0.12684974304133334
Japan,Yokohama,South Africa,Durban,7667,DIRECT,31 days 23 hours,3613.2147859984,0.12044049286661335
Japan,Yokohama,Hong Kong,Hong Kong,1584,DIRECT,6 days 14 hours,746.4891379968001,0.024882971266560003
Japan,Yokohama,Ireland,Dublin,11015,SUEZ CANAL,45 days 22 hours,5191.021373128,0.17303404577093334
Japan,Yokohama,Singapore,Singapore,2892,DIRECT,12 days 01 hours,1362.9081989184,0.045430273297280006
Japan,Yokohama,Malaysia,Johor,2892,DIRECT,12 days 01 hours,1362.9081989184,0.045430273297280006
Japan,Yokohama,Philippines,Manila,1758,DIRECT,7 days 08 hours,828.4898387616,0.027616327958720002
Japan,Yokohama,Colombia,Cartagena,8002,PANAMA CANAL,33 days 08 hours,3771.0896983904004,0.12570298994634668
Japan,Yokohama,Finland,Helsinki,12281,SUEZ CANAL,51 days 04 hours,5787.6471614512,0.19292157204837335
Japan,Yokohama,Egypt,Alexandria,8062,SUEZ CANAL,33 days 14 hours,3799.3658021024003,0.12664552673674667
Japan,Yokohama,Portugal,Lisbon,10118,SUEZ CANAL,42 days 04 hours,4768.2936226336005,0.15894312075445335
Japan,Yokohama,Romania,Constantza,8888,SUEZ CANAL,37 days 01 hours,4188.6334965376,0.13962111655125334
Japan,Yokohama,New Zealand,Auckland,4797,DIRECT,20 days 00 hours,2260.6744917744,0.07535581639248
Japan,Yokohama,Greece,Piraeus,8499,SUEZ CANAL,35 days 10 hours,4005.3100908048,0.13351033636016
Japan,Yokohama,Peru,Callao,8412,DIRECT,35 days 01 hours,3964.3097404224004,0.13214365801408
Japan,Yokohama,Vietnam,Saigon,2418,DIRECT,10 days 02 hours,1139.5269795936001,0.03798423265312
Germany,Hamburg,India,Bombay,6573,SUEZ CANAL,27 days 09 hours,3097.6471616496,0.10325490538832001
Germany,Hamburg,United Kingdom,Felixstowe,360,DIRECT,1 day 12 hours,169.65662227200002,0.005655220742400001
Germany,Hamburg,France,Marseilles,2304,STRAIT OF GIBRALTAR,9 days 14 hours,1085.8023825408,0.036193412751359996
Germany,Hamburg,Brazil,Santos,5683,DIRECT,23 days 16 hours,2678.2182899216,0.08927394299738667
Germany,Hamburg,Italy,Genoa,2461,STRAIT OF GIBRALTAR,10 days 06 hours,1159.7915205872,0.038659717352906665
Germany,Hamburg,Canada,Vancouver,9114,PANAMA CANAL,37 days 23 hours,4295.1401538528,0.14317133846176
Germany,Hamburg,Russia,Novorossiysk,3870,STRAIT OF GIBRALTAR,16 days 03 hours,1823.808689424,0.0607936229808
Germany,Hamburg,Australia,Melbourne,11364,SUEZ CANAL,47 days 08 hours,5355.4940430528,0.17851646810176
Germany,Hamburg,Spain,Algeciras,1618,DIRECT,6 days 18 hours,762.5122634336001,0.02541707544778667
Germany,Hamburg,Mexico,Manzanillo,6818,PANAMA CANAL,28 days 10 hours,3213.1079184736,0.10710359728245333
Germany,Hamburg,Indonesia,Tanjung Priok,8803,SUEZ CANAL,36 days 16 hours,4148.5756829456,0.1382858560981867
Germany,Hamburg,Netherlands,Rotterdam,305,DIRECT,1 day 07 hours,143.736860536,0.0047912286845333335
Germany,Hamburg,Saudi Arabia,Jeddah,4250,SUEZ CANAL,17 days 17 hours,2002.8906796,0.06676302265333334
Germany,Hamburg,Turkey,Ambarli,3399,STRAIT OF GIBRALTAR,14 days 04 hours,1601.8412752848,0.05339470917616
Germany,Hamburg,Argentina,Buenos Aires,6594,DIRECT,27 days 11 hours,3107.5437979488,0.10358479326496
Germany,Hamburg,Sweden,Gothenburg,326,DIRECT,1 day 09 hours,153.63349683520002,0.005121116561173334
Germany,Hamburg,Poland,Gdansk,434,DIRECT,1 day 19 hours,204.53048351680002,0.006817682783893334
Germany,Hamburg,Belgium,Antwerp,405,DIRECT,1 day 17 hours,190.863700056,0.0063621233352
Germany,Hamburg,Thailand,Laem Chabang,9325,SUEZ CANAL,38 days 21 hours,4394.577785240001,0.1464859261746667
Germany,Hamburg,Iran,Bandar Abbas,6369,SUEZ CANAL,26 days 13 hours,3001.5084090288,0.10005028030096
Germany,Hamburg,Norway,Oslo,445,DIRECT,1 day 21 hours,209.71443586400002,0.006990481195466668
Germany,Hamburg,United Arab Emirates,Dubai,6418,SUEZ CANAL,26 days 18 hours,3024.6005603936,0.10082001867978667
Germany,Hamburg,Nigeria,Lagos,4424,DIRECT,18 days 10 hours,2084.8913803648,0.06949637934549334
Germany,Hamburg,Israel,Haifa,3614,STRAIT OF GIBRALTAR,15 days 01 hours,1703.1639802528,0.05677213267509333
Germany,Hamburg,South Africa,Durban,7197,CAPE OF GOOD HOPE,30 days 00 hours,3391.7186402544003,0.11305728800848001
Germany,Hamburg,Hong Kong,Hong Kong,10001,SUEZ CANAL,41 days 16 hours,4713.155220395201,0.15710517401317337
Germany,Hamburg,Ireland,Dublin,881,DIRECT,3 days 16 hours,415.18745617120004,0.013839581872373335
Germany,Hamburg,Singapore,Singapore,8541,SUEZ CANAL,35 days 14 hours,4025.1033634032,0.13417011211344002
Germany,Hamburg,Malaysia,Johor,8566,SUEZ CANAL,35 days 17 hours,4036.8850732832,0.13456283577610667
Germany,Hamburg,Philippines,Manila,9882,SUEZ CANAL,41 days 04 hours,4657.0742813664,0.15523580937888
Germany,Hamburg,Colombia,Cartagena,4839,DIRECT,20 days 04 hours,2280.4677643728,0.07601559214576001
Germany,Hamburg,Finland,Helsinki,721,DIRECT,3 days 00 hours,339.7845129392,0.011326150431306666
Germany,Hamburg,Egypt,Alexandria,3412,STRAIT OF GIBRALTAR,14 days 05 hours,1607.9677644224,0.05359892548074667
Germany,Hamburg,Portugal,Lisbon,1339,DIRECT,5 days 14 hours,631.0283811728,0.021034279372426665
Germany,Hamburg,Romania,Constantza,3610,STRAIT OF GIBRALTAR,15 days 01 hours,1701.2789066720002,0.056709296889066674
Germany,Hamburg,New Zealand,Auckland,11608,PANAMA CANAL,48 days 09 hours,5470.4835314816,0.18234945104938666
Germany,Hamburg,Greece,Piraeus,3095,STRAIT OF GIBRALTAR,12 days 22 hours,1458.575683144,0.048619189438133335
Germany,Hamburg,Peru,Callao,6433,PANAMA CANAL,26 days 19 hours,3031.6695863216,0.10105565287738667
Germany,Hamburg,Vietnam,Saigon,9187,SUEZ CANAL,38 days 07 hours,4329.5427467024,0.14431809155674666
India,Bombay,United Kingdom,Felixstowe,6251,SUEZ CANAL,26 days 01 hours,2945.8987383952003,0.09819662461317334
India,Bombay,France,Marseilles,4558,SUEZ CANAL,19 days 00 hours,2148.0413453216,0.07160137817738667
India,Bombay,Brazil,Santos,7956,CAPE OF GOOD HOPE,33 days 04 hours,3749.4113522112,0.12498037840704
India,Bombay,Italy,Genoa,4465,SUEZ CANAL,18 days 15 hours,2104.213384568,0.07014044615226667
India,Bombay,Canada,Vancouver,9513,DIRECT,39 days 15 hours,4483.1762435376,0.14943920811792002
India,Bombay,Russia,Novorossiysk,4288,SUEZ CANAL,17 days 21 hours,2020.7988786176002,0.06735996262058667
India,Bombay,Australia,Melbourne,5558,DIRECT,23 days 04 hours,2619.3097405216,0.08731032468405334
India,Bombay,Spain,Algeciras,4961,SUEZ CANAL,20 days 16 hours,2337.9625085872003,0.07793208361957335
India,Bombay,Mexico,Manzanillo,11224,DIRECT,46 days 18 hours,5289.5164677248,0.17631721559082666
India,Bombay,Indonesia,Tanjung Priok,2710,DIRECT,11 days 07 hours,1277.1373509920002,0.042571245033066675
India,Bombay,Netherlands,Rotterdam,6320,SUEZ CANAL,26 days 08 hours,2978.416257664,0.09928054192213334
India,Bombay,Saudi Arabia,Jeddah,2353,DIRECT,9 days 19 hours,1108.8945339056002,0.036963151130186674
India,Bombay,Turkey,Ambarli,3817,SUEZ CANAL,15 days 22 hours,1798.8314644784,0.05996104881594667
India,Bombay,Argentina,Buenos Aires,8258,CAPE OF GOOD HOPE,34 days 10 hours,3891.7344075616,0.12972448025205333
India,Bombay,Sweden,Gothenburg,6764,SUEZ CANAL,28 days 04 hours,3187.6594251328,0.10625531417109334
India,Bombay,Poland,Gdansk,7137,SUEZ CANAL,29 days 18 hours,3363.4425365424004,0.11211475121808001
India,Bombay,Belgium,Antwerp,6325,SUEZ CANAL,26 days 09 hours,2980.77259964,0.09935908665466667
India,Bombay,Thailand,Laem Chabang,3219,DIRECT,13 days 10 hours,1517.0129641488002,0.050567098804960006
India,Bombay,Iran,Bandar Abbas,1073,DIRECT,4 days 11 hours,505.6709880496,0.016855699601653333
India,Bombay,Norway,Oslo,6825,SUEZ CANAL,28 days 11 hours,3216.4067972400003,0.10721355990800001
India,Bombay,United Arab Emirates,Dubai,1122,DIRECT,4 days 16 hours,528.7631394144,0.01762543798048
India,Bombay,Nigeria,Lagos,7154,CAPE OF GOOD HOPE,29 days 19 hours,3371.4540992608004,0.11238180330869335
India,Bombay,Israel,Haifa,3215,SUEZ CANAL,13 days 10 hours,1515.127890568,0.050504263018933335
India,Bombay,South Africa,Durban,3809,DIRECT,15 days 21 hours,1795.0613173168001,0.05983537724389334
India,Bombay,Hong Kong,Hong Kong,3895,DIRECT,16 days 06 hours,1835.5903993040001,0.06118634664346667
India,Bombay,Ireland,Dublin,6155,SUEZ CANAL,25 days 16 hours,2900.656972456,0.09668856574853334
India,Bombay,Singapore,Singapore,2435,DIRECT,10 days 04 hours,1147.5385423120001,0.038251284743733335
India,Bombay,Malaysia,Johor,2460,DIRECT,10 days 06 hours,1159.320252192,0.0386440084064
India,Bombay,Philippines,Manila,3776,DIRECT,15 days 18 hours,1779.5094602752001,0.05931698200917334
